filename,time_range,Social Media Logo,Social Media Logo Type,Social Media Screenshot,Social Media Screenshot Type
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001432-001443.jpg,001432-001443,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001444-001445.jpg,001444-001445,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001446-001452.jpg,001446-001452,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001453-001457.jpg,001453-001457,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001458.jpg,001458,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001538-001544.jpg,001538-001544,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001545.jpg,001545,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001546.jpg,001546,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001547-001548.jpg,001547-001548,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001549-001550.jpg,001549-001550,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001551-001552.jpg,001551-001552,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001553-001558.jpg,001553-001558,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001559-001572.jpg,001559-001572,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001983.jpg,001983,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001984.jpg,001984,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001985.jpg,001985,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001986.jpg,001986,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001987.jpg,001987,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001988.jpg,001988,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001989.jpg,001989,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001990.jpg,001990,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002043.jpg,002043,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002044.jpg,002044,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002045-002047.jpg,002045-002047,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002048.jpg,002048,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002222-002223.jpg,002222-002223,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002224-002230.jpg,002224-002230,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002587.jpg,002587,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002588.jpg,002588,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002589.jpg,002589,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002590.jpg,002590,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002591.jpg,002591,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002592.jpg,002592,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002593.jpg,002593,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002594.jpg,002594,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002595.jpg,002595,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002596.jpg,002596,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002597.jpg,002597,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-002598-002610.jpg,002598-002610,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003019-003040.jpg,003019-003040,Yes,Parler,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003052-003059.jpg,003052-003059,Yes,Facebook,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003085-003101.jpg,003085-003101,Yes,Parler,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003152.jpg,003152,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003153-003158.jpg,003153-003158,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003159-003161.jpg,003159-003161,Yes,Facebook,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003162-003165.jpg,003162-003165,Yes,Facebook,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003166.jpg,003166,Yes,Facebook,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003264.jpg,003264,Yes,"Twitter, Facebook",No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003265-003266.jpg,003265-003266,Yes,"Twitter, Facebook",No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003267-003268.jpg,003267-003268,Yes,"Twitter, Facebook",No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003269-003272.jpg,003269-003272,Yes,"Twitter, Facebook",No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003273-003276.jpg,003273-003276,Yes,"Twitter, Facebook",No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003277-003279.jpg,003277-003279,Yes,"Twitter, Facebook",No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003280.jpg,003280,Yes,"Twitter, Facebook",No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003281-003282.jpg,003281-003282,Yes,"Twitter, Facebook",No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003283.jpg,003283,Yes,"Twitter, Facebook",No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-003284.jpg,003284,Yes,"Twitter, Facebook",No,N/A
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000326-000344.jpg,000326-000344,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000345.jpg,000345,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000669.jpg,000669,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000670.jpg,000670,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000671.jpg,000671,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000672-000674.jpg,000672-000674,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000675.jpg,000675,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-001468.jpg,001468,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-001469-001477.jpg,001469-001477,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-001478-001498.jpg,001478-001498,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-001538-001542.jpg,001538-001542,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-001543-001548.jpg,001543-001548,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-002167-002173.jpg,002167-002173,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-002174-002178.jpg,002174-002178,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-002179.jpg,002179,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-003288-003378.jpg,003288-003378,Yes,Twitter,No,N/A
/MSNBCW_20220425_030000_The_Mehdi_Hasan_Show-003087-003095.jpg,003087-003095,Yes,Twitter,Yes,Twitter
/MSNBCW_20220425_040000_Ayman-002156-002159.jpg,002156-002159,Yes,Facebook,No,N/A
/MSNBCW_20220425_040000_Ayman-002160.jpg,002160,Yes,Facebook,No,N/A
/MSNBCW_20220425_040000_Ayman-002161-002164.jpg,002161-002164,Yes,Facebook,No,N/A
/MSNBCW_20220425_040000_Ayman-003396-003399.jpg,003396-003399,Yes,"TikTok, Twitter",No,N/A
/MSNBCW_20240201_040000_The_11th_Hour_With_Stephanie_Ruhle-001266-001267.jpg,001266-001267,Yes,"YouTube, TikTok, Threads, Twitter (X), Instagram, Facebook",No,N/A
/MSNBCW_20240201_040000_The_11th_Hour_With_Stephanie_Ruhle-001268.jpg,001268,Yes,"YouTube, TikTok, Threads, Twitter (X), Instagram, Facebook",No,N/A
/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000212-000220.jpg,000212-000220,Yes,Truth Social,Yes,Truth Social
/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000254-000258.jpg,000254-000258,Yes,Truth Social,Yes,Truth Social
/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-002336-002360.jpg,002336-002360,Yes,Twitter (X),Yes,Twitter (X)
/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-002400-002414.jpg,002400-002414,Yes,Twitter (X),Yes,Twitter (X)
