filename,Social Media Logo,Social Media Logo Type,Social Media Screenshot,Social Media Screenshot Type,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001315.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001316.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001317.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001318.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001319.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001320.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001321.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001322.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001323.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002582.jpg,Yes,Twitter,Yes,Twitter,*partial
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002583.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002584.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002585.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002586.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002587.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002588.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002589.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002590.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002591.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002592.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-003046.jpg,Yes,Twitter,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-003047.jpg,Yes,Twitter,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-003048.jpg,Yes,Twitter,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-003049.jpg,Yes,Twitter,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-003050.jpg,Yes,Twitter,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-003051.jpg,Yes,Twitter,No,N/A,
